LogReader Generated Export

PROPERTIES
Version=2
CLASS Version=5.14_005
Loaded Jars=ClassMCS Command Station(null-5.14-27),5.14.1P005.001_RegularPatch_202502(null-1.0-1.0_20250205140739),5.14.1P005.002_RegularPatch_202502(null-1.0-1.0_20250228145629),5.14.1P005.003_RegularPatch_202503(null-1.0-1.0_20250313103435),5.14.1P005.004_RegularPatch_202505(null-1.0-1.0_20250513173946),5.14.1P005.005_RegularPatch_202506(null-1.0-1.0_20250521100446),5.14.1P005.006_HotFix_202506(null-1.0-1.0_20250605142834),5.14.1P005.007_RegularPatch_202506(null-1.0-1.0_20250618092714),CLASS MCS 5.14 ServicePack(null-5.14 001-24),CLASS MCS 5.14 ServicePack(null-5.14 002-1),CLASS MCS 5.14 CommandStation(null-5.14 003-24),CLASS MCS 5.14 ServicePack(null-5.14 003-5),CLASS MCS 5.14 ServicePack(null-5.14 004-4),CLASS MCS 5.14 ServicePack(null-5.14 005-5),classlgmcs(null-1.0-1.0_20250217152123),ClassMCS(null-5.14-27),ClassMCS open source library(null-5.14-27),itext(null-1.4.6-UNKNOWN),JCommon(null-1.0.6-UNKNOWN),JFreeChart(null-1.0.3-UNKNOWN),Oracle JDBC(null-Oracle JDBC Driver version - 19.23.0.0.0-UNKNOWN),Oracle JDBC(null-Oracle JDBC Driver version - 19.0.0.0.0-UNKNOWN),
Time Zone=America/New_York
Export Type=Hexadecimal
Mark Count=0

MARKS

HEADERS
"Category","LevelID","SystemDate","DeviceID","SourceID","TrackingID","AsciiData","MessageName","MethodID","LogParserClassName","BinaryData","NumericalTimeStamp"
"Debug","6","22-Aug-2025 10:21:26:229","MesServer_J1F","MesServer_J1F:CarrierLocUpdateListenerMCSEventThreadPool-5","PTAJFP000124","[CVNT] ReportCarrierLocationUpdate >> MoveStatus -> No Move (PTAJFP000124)","debug","ReportCarrierLocationUpdate.reportCarrierMovingLocationInfo","","","1755872486229"
"Debug","6","22-Aug-2025 10:21:26:228","MesServer_J1F","MesServer_J1F:CarrierLocUpdateListenerMCSEventThreadPool-5","PTAJFP000124","[CVNT] ReportCarrierLocationUpdate >>  LOC:  cur : J1FCNV13301/J1FCNV13301-CP0C01(), from : J1FCNV13301/J1FCNV13301-CP0C01, to : J1FCNV13301/J1FCNV13301-CP0C01 : B","debug","ReportCarrierLocationUpdate.reportCarrierMovingLocationInfo","","","1755872486228"
"Debug","9","22-Aug-2025 10:21:26:227","","EventBrokerServer:EventBrokerServer-EventProcessorThread","","Sending MCSEvent with Subject(carrier.movement.jobCompleted.PTAJFP000124) to 4 Subscribers.","debug","EventPublisher.publishEvent","","","1755872486227"
"Debug","9","22-Aug-2025 10:21:26:227","","EventBrokerServer:EventBrokerServer-EventProcessorThread","","Received MCSEvent with Subject(carrier.movement.jobCompleted.PTAJFP000124).","debug","EventPublisher.publishEvent","","","1755872486227"
"Debug","9","22-Aug-2025 10:21:26:227","","EventBrokerServer:EventBrokerServer-EventProcessorThread","","Sending MCSEvent with Subject(carrier.movement.completed.PTAJFP000124) to 3 Subscribers.","debug","EventPublisher.publishEvent","","","1755872486227"
"Debug","9","22-Aug-2025 10:21:26:227","","EventBrokerServer:EventBrokerServer-EventProcessorThread","","Received MCSEvent with Subject(carrier.movement.completed.PTAJFP000124).","debug","EventPublisher.publishEvent","","","1755872486227"
"Debug","9","22-Aug-2025 10:21:26:227","","EventBrokerServer:EventBrokerServer-EventProcessorThread","","Sending MCSEvent with Subject(carrier.movement.dataChanged.PTAJFP000124) to 3 Subscribers.","debug","EventPublisher.publishEvent","","","1755872486227"
"Debug","9","22-Aug-2025 10:21:26:227","","EventBrokerServer:EventBrokerServer-EventProcessorThread","","Received MCSEvent with Subject(carrier.movement.dataChanged.PTAJFP000124).","debug","EventPublisher.publishEvent","","","1755872486227"
"Debug","7","22-Aug-2025 10:21:26:227","MesServer_J1F","MesServer_J1F:CarrierLocUpdateListenerMCSEventThreadPool-5","PTAJFP000124","[CVNT] ReportTransferComplete >> DeviceType CONVEYER","debug","ReportTransferComplete.processEvent","","","1755872486227"
"Debug","5","22-Aug-2025 10:21:26:227","MesServer_J1F","MesServer_J1F:CarrierLocUpdateListenerMCSEventThreadPool-5","PTAJFP000124","[CVNT] ReportTransferComplete >> LGMoveCompleteEvent J1FCNV13301 [ J1FCNV13301-CP0C01: ] ","debug","ReportTransferComplete.processEvent","","","1755872486227"
